FID,MI_STYLE,MI_PRINX,GEOLOC,ID,PK,PGP_PK,REFERENCE,APPLICATION_NUMBER,DEVELOPMENT_ADDRESS,DEVELOPMENT_DESCRIPTION,ED_DATE,EDCOMPARE_DATE,CREATE_DATE,EARLIEST_DECISION_DATE,CURRENT_DATE,APPLICATION_TYPE,PLANNING_SYSTEM_STATUS,PA_REFERENCE,DECISION_TYPE_CODE,DECISION_TEXT
Current Applications_MH3.45321,"Pen (1,2,0)  Brush (2,16777215,16777215)",45321,"POLYGON ((534167.196 187116.398, 534166.149 187109.8, 534168.944 187109.4, 534179.795 187107.4, 534194.693 187104.841, 534194.792 187108.05, 534195.295 187110, 534183.447 187112.549, 534170.296 187115.648, 534167.196 187116.398))",2014/1882,213626,305284,213626,2014/1882,Spenser Associates 12 Forburg Road London N16 6HS,Box Elder within rear garden (T1): Fell.,14-JUN-14,2014-06-14,2014-06-06,2014-06-14,2014-11-15,TCA,7,213626,APP,PERMISSION
Current Applications_MH3.45322,"Pen (1,2,0)  Brush (2,16777215,16777215)",45322,"POLYGON ((535837.695 184156.395, 535843.293 184158.145, 535834.446 184186.996, 535828.749 184185.247, 535832.896 184171.841, 535836.293 184160.694, 535837.695 184156.395))",2014/1994,214221,294393,214221,2014/1994,49A Penshurst Road London E9 7DT,"Reduction of holly tree by 2-3 metres and reduction of ginko tree by 0.5 metres, both in rear garden.",26-JUN-14,2014-06-26,2014-06-18,2014-06-26,2014-11-15,TCA,7,214221,NOB,
Current Applications_MH3.45323,"Pen (1,2,0)  Brush (2,16777215,16777215)",45323,"POLYGON ((533097.366 186481.38, 533092.098 186490.597, 533090.993 186490.037, 533086.879 186487.978, 533085.716 186487.398, 533087.53 186484.229, 533085.708 186483.189, 533086.458 186481.889, 533088.28 186482.929, 533091.108 186477.99, 533097.366 186481.38))",2014/1775,213221,434127,213221,2014/1775,21 Gujerat House 145 Stoke Newington Church Street London N16 0UG,"Cherry (TPO 2/2008) (rear): prune to most recent points, giving approximately 20% crown reduction.",13-JUN-14,2014-06-13,2014-05-29,2014-06-13,2014-11-15,TPO,7,213221,APP,PERMISSION
Current Applications_MH3.45324,"Pen (1,2,0)  Brush (2,16777215,16777215)",45324,"POLYGON ((534512.293 186538.243, 534506.893 186533.545, 534505.549 186532.395, 534517.446 186516.849, 534523.993 186508.192, 534529.492 186500.944, 534536.245 186506.592, 534529.294 186515.7, 534521.849 186525.597, 534520.398 186527.446, 534512.293 186538.243))",2014/2148,214900,311585,214900,2014/2148,233 Evering Road London E5 8AL,Plum in rear gaden: cut back and crown lift to 4m, Apple in rear garden: cut back and crown lift to 4m.,09-JUL-14,2014-07-09,2014-07-02,2014-07-09,2014-11-15,TCA,7,214900,NOB
Current Applications_MH3.45325,"Pen (1,2,0)  Brush (2,16777215,16777215)",45325,"POLYGON ((534592.394 186602.145, 534588.593 186599.246, 534585.493 186596.896, 534598.899 186579.741, 534605.495 186571.294, 534610.146 186565.345, 534617.146 186570.494, 534610.896 186578.642, 534603.294 186588.299, 534592.394 186602.145))",2014/2182,215121,311022,215121,2014/2182,257 Evering Road London E5 8AL ,"Elderberry, Ash (both rear): reduce by 2m and cut back from building.",15-JUL-14,2014-07-15,2014-07-04,2014-07-15,2014-11-15,TCA,7,215121,NOB,
Current Applications_MH3.45326,"Pen (1,2,0)  Brush (2,16777215,16777215)",45326,"POLYGON ((534191.882 184771.309, 534191.544 184767, 534190.447 184753.244, 534189.854 184748.566, 534189.532 184745.966, 534189.227 184743.477, 534188.947 184741.248, 534189.779 184741.158, 534194.199 184740.698, 534195.196 184740.548, 534195.394 184743.047, 534195.543 184745.546, 534195.749 184748.096, 534195.996 184750.595, 534196.549 184757.743, 534197.142 184765.241, 534197.249 184766.5, 534197.645 184770.749, 534192.649 184771.249, 534191.882 184771.309))",2014/2204,215223,301229,215223,2014/2204,52B Graham Road London E8 1BZ,Ash (rear): trim lowest branch.,15-JUL-14,2014-07-15,2014-07-08,2014-07-15,2014-11-15,TCA,7,215223,NOB,
Current Applications_MH3.45327,"Pen (1,2,0)  Brush (2,16777215,16777215)",45327,"POLYGON ((534150.145 184534.597, 534150.797 184527.149, 534166.998 184528.549, 534180.949 184529.898, 534180.298 184537.296, 534177.997 184537.096, 534164.294 184535.946, 534153.897 184534.947, 534150.145 184534.597))",2014/2346,215848,291958,215848,2014/2346,6 St. Philip's Road London E8 3BP,"Eucalytpus (rear): reduce height by 3m, reduce width by 2m by pruning to previous reduction points, and remove 4 lowest limbs overhanging garden, lift remainder 4.5m.",18-JUL-14,2014-07-18,2014-07-18,2014-07-18,2014-11-15,TCA,7,215848,NOB,
Current Applications_MH3.45328,"Pen (1,2,0)  Brush (2,16777215,16777215)",45328,"POLYGON ((532396.495 186816.294, 532388.143 186812.695, 532387.895 186812.595, 532391.4 186805.297, 532397.097 186792.201, 532405.045 186773.796, 532413.298 186777.345, 532410.792 186783.093, 532405.4 186795.6, 532396.495 186816.294))",2014/2350,215861,294369,215861,2014/2350,9A Lordship Park London N16 5UN,Poplar (rear): repollard back to previous points.,21-JUL-14,2014-07-21,2014-07-19,2014-07-21,2014-11-15,TCA,7,215861,NOB,
Current Applications_MH3.45330,"Pen (1,2,0)  Brush (2,16777215,16777215)",45330,"POLYGON ((535858.077 183953.553, 535858.126 183953.553, 535858.126 183953.603, 535858.077 183953.603, 535858.077 183953.553))",2014/2120,214763,530602,214763,2014/2120,11 Minson Road London E9 7HG,"Rear garden, 2 x Conifers - Fell",04-JUL-14,2014-07-04,2014-06-30,2014-07-04,2014-11-15,TPO,7,214763,APP,PERMISSION
Current Applications_MH3.45331,"Pen (1,2,0)  Brush (2,16777215,16777215)",45331,"POLYGON ((533954.045 184017.045, 533954.045 184018.594, 533945.998 184018.644, 533938.305 184018.694, 533938.264 184017.275, 533938.247 184016.795, 533938.099 184009.597, 533947.243 184009.647, 533954.498 184009.697, 533976.95 184009.597, 533977.098 184016.895, 533956.848 184016.995, 533954.045 184017.045))",2014/2482,216222,296079,216222,2014/2482,210 Queensbridge Road London E8 3NB,Rear garden sycamore - Fell and within 1 year of the felling replant 2 x red river birch and 1 x Sorbus 'Pink Pagoda'.,07-AUG-14,2014-08-07,2014-07-30,2014-08-07,2014-11-15,TCA,7,216222,NOB,
Current Applications_MH3.45332,"Pen (1,2,0)  Brush (2,16777215,16777215)",45332,"POLYGON ((532620.398 186789.741, 532600.948 186834.548, 532598.499 186840.147, 532587.945 186835.598, 532590.295 186830.1, 532594.294 186820.692, 532595.547 186817.693, 532609.399 186784.943, 532610.1 186785.243, 532612.046 186786.092, 532613.497 186786.692, 532618.493 186788.891, 532620.398 186789.741))",2014/1931,213900,294410,213900,2014/1931,44a Lordship Park London N16 5UD,2x Lime trees within front garden (T1 and T2 of TPO no.8 2008): Pollard.,19-JUN-14,2014-06-19,2014-06-12,2014-06-19,2014-11-15,TPO,7,213900,REFUSE,Refuse Permission
Current Applications_MH3.45333,"Pen (1,2,0)  Brush (2,16777215,16777215)",45333,"POLYGON ((534200.754 184477.853, 534200.102 184484.001, 534198.898 184496.548, 534198.552 184499.997, 534197.497 184514.453, 534189.804 184513.853, 534190.851 184499.997, 534191.099 184495.848, 534191.404 184492.799, 534192.352 184483.501, 534192.748 184477.203, 534200.754 184477.853))",2014/2793,217646,424056,217646,2014/2793,65C Richmond Road London E8 3AA,"Reduction of lime in rear garden of 63 Richmond Road back to boundary, reduction of hazel in rear garden of 67 Richmond Road back to boundary, removal of buddleia in rear garden of 65 Richmond Road.",05-SEP-14,2014-09-05,2014-08-29,2014-09-05,2014-11-15,TCA,4,217646,NOB,
Current Applications_MH3.45334,"Pen (1,2,0)  Brush (2,16777215,16777215)",45334,"POLYGON ((533992.871 186347.078, 533991.552 186350.697, 533991.411 186351.077, 533990.999 186352.196, 533988.649 186358.655, 533984.403 186357.195, 533980.751 186355.895, 533975.301 186353.896, 533970.502 186352.147, 533969.496 186351.697, 533963.947 186349.697, 533956.7 186346.998, 533960.847 186335.451, 533974.649 186340.45, 533988.6 186345.448, 533988.699 186345.648, 533992.871 186347.078))",2014/2798,217662,433598,217662,2014/2798,45 Jenner Road London N16 7SB,Sycamore (front)- fell.,09-SEP-14,2014-09-09,2014-08-29,2014-09-09,2014-11-15,TCA,4,,,
Current Applications_MH3.45335,"Pen (1,2,0)  Brush (2,16777215,16777215)",45335,"POLYGON ((534220.698 187222.147, 534218.703 187224.597, 534209.897 187235.004, 534198.651 187247.35, 534192.896 187244.501, 534208.05 187227.596, 534214.102 187220.898, 534216.304 187218.598, 534220.698 187222.147))",2014/2797,217661,430570,217661,2014/2797,55 Forburg Road London N16 6HR,Otiental Plane - Rear - Fell,29-AUG-14,2014-08-29,2014-08-29,2014-08-29,2014-11-15,TCA,4,,,
Current Applications_MH3.45337,"Pen (1,2,0)  Brush (2,16777215,16777215)",45337,"POLYGON ((532854.698 187358.848, 532851.796 187366.596, 532842.347 187392.499, 532835.998 187389.849, 532839.692 187378.893, 532844.944 187364.697, 532847.896 187356.399, 532854.698 187358.848))",2014/2839,217842,312062,217842,2014/2839,64 Fairholt Road London N16 5HN,"Reservoir embankment, 3 oaks (forming G1) - fell to ground level and grind out stumps.",10-OCT-14,2014-10-10,2014-09-02,2014-10-10,2014-11-15,TCA,4,,,
Current Applications_MH3.45338,"Pen (1,2,0)  Brush (2,16777215,16777215)",45338,"POLYGON ((534187.85 184302.593, 534181.543 184302.093, 534183.892 184269.893, 534189.548 184270.292, 534190.398 184270.342, 534189.293 184284.448, 534188.097 184299.394, 534187.85 184302.593))",2014/2866,217942,291436,217942,2014/2866,112 Mapledene Road London E8 3LL,Rear garden Pear - Reduce by 2-3m,,,,,,,,,,
